avg_vote,metascore,tomatometer_score,audience_score,usa_gross_income,worldwide_gross_income
5.9,,25%,37%, 33023469,159212469
5.5,,12%,28%, 7138523,7138523
6.1,39.0,12%,62%, 25785603,37553752
2.7,25.0,0%,22%, 4422380,4422380
6.6,66.0,84%,77%, 22231658,22231658
7.4,87.0,85%,83%, 78676425,231976425
6.1,56.0,37%,39%, 101295562,242295562
6.3,45.0,63%,68%, 50047179,141047179
6.4,62.0,64%,53%, 56569216,121969216
6.2,,56%,40%, 17380126,17380126
6.2,,8%,55%, 26877589,26877589
5.9,,7%,49%, 2104439,2104439
5.9,32.0,37%,34%, 18626419,18626419
8.1,85.0,94%,93%, 24611975,60611975
6.4,58.0,50%,68%, 105489203,181489203
5.4,,16%,23%, 17193231,17193231
5.2,43.0,40%,49%, 20080020,20080020
6.8,,87%,70%, 25143818,25143818
6.8,61.0,77%,76%, 295493,295493
7.1,52.0,63%,71%, 16759216,29359216
7.2,48.0,63%,76%, 25836616,25836616
6.8,,50%,75%, 38619405,38619405
6.7,,43%,62%, 13323144,13323144
5.4,33.0,12%,38%, 20351264,20351264
6.8,60.0,55%,74%, 29090,29090
7.0,31.0,61%,85%, 38824099,41205099
5.9,,48%,50%, 26570048,26570048
5.8,,16%,31%, 5009305,5009305
6.9,74.0,71%,70%, 100138851,325338851
4.9,,18%,52%, 2420162,2420162
7.0,59.0,66%,75%, 306169268,817400891
4.5,,56%,40%, 27663982,49627779
5.8,31.0,18%,49%, 58620973,58620973
6.7,78.0,91%,66%, 28946127,28946127
7.3,77.0,83%,79%, 153952592,273552592
5.6,34.0,15%,38%, 60592389,129832389
5.4,,19%,42%, 4619014,4619014
6.9,68.0,81%,73%, 409144,409144
5.7,,18%,31%, 22754725,22754725
6.0,,40%,71%, 4109095,4109095
6.4,57.0,62%,43%, 1356329,1356828
3.0,24.0,5%,20%, 18937262,18937262
6.9,43.0,50%,69%, 25023434,25023434
5.6,43.0,11%,30%, 8315693,8315693
6.4,,37%,51%, 18115927,47267001
7.4,78.0,94%,83%, 12408986,12408986
6.8,44.0,69%,70%, 33447612,89456761
7.6,52.0,61%,87%, 3675201,3703548
6.9,,90%,81%, 604523,604523
6.3,58.0,47%,71%, 294212,294212
6.3,52.0,54%,53%, 37771017,101371017
6.7,68.0,84%,63%, 12803305,12803305
5.8,44.0,26%,40%, 5707094,12379402
6.9,72.0,90%,73%, 33459416,33459416
5.5,,29%,34%, 14502483,14502483
5.3,,43%,56%, 2967,2967
7.2,60.0,77%,84%, 11092559,11135803
6.6,,55%,72%, 41083864,41083864
7.1,59.0,64%,71%, 180981856,457731166
7.1,,63%,76%, 403701,403701
6.2,35.0,10%,63%, 10082005,10082005
6.3,,30%,39%, 11526099,11526099
6.1,,43%,49%, 21075014,21075014
6.5,49.0,47%,64%, 22313201,22313201
5.6,62.0,85%,67%, 128814019,273961019
5.7,,53%,46%, 3718087,3718087
4.9,,45%,19%, 5656388,5656388
4.9,,43%,31%, 17323326,17323326
6.4,41.0,50%,59%, 104636382,152036382
5.6,,60%,52%, 48102795,48102795
7.7,47.0,75%,89%, 56116183,102616183
7.4,72.0,48%,34%, 1605,1605
5.6,,14%,36%, 21686547,57400547
6.6,60.0,75%,62%, 136492681,309492681
7.4,58.0,66%,85%, 134069511,335062621
6.7,60.0,72%,77%, 46351345,151841661
6.9,44.0,61%,81%, 10580,10580
7.2,65.0,79%,79%, 103046663,173046663
6.9,,67%,90%, 36461139,41590886
5.9,47.0,31%,47%, 30356793,37956793
6.0,,61%,41%, 9538948,9538948
7.7,87.0,91%,90%, 35892330,35994719
7.6,49.0,73%,85%, 53315285,165615285
8.0,84.0,96%,92%, 24444121,24444121
4.0,,6%,26%, 5107669,5107669
6.4,59.0,43%,63%, 90418342,230418342
7.0,,33%,76%, 12658486,12658486
5.4,25.0,8%,31%, 26960191,26960191
7.6,71.0,93%,89%, 92027888,146027888
6.6,60.0,51%,75%, 4722310,4762310
4.5,,12%,24%, 33109743,113309743
4.2,,20%,37%, 2491989,2491989
6.4,55.0,32%,60%, 2021348,2021348
7.2,71.0,87%,89%, 4555020,4555020
6.9,71.0,93%,78%, 25857416,34585416
5.7,,12%,77%, 34767836,35599803
7.5,54.0,67%,85%, 108766007,152266007
6.3,60.0,71%,65%, 53854588,53854588
8.1,83.0,91%,93%, 16491080,16593356
7.1,76.0,81%,79%, 749741,749741
5.7,66.0,75%,42%, 3622979,3622979
6.4,68.0,57%,58%, 241721524,494471524
6.0,,21%,28%, 2821671,2821671
6.2,,31%,66%, 51088705,100688705
5.7,56.0,53%,35%, 21440752,21440752
7.5,71.0,91%,91%, 2923982,2923982
6.7,67.0,88%,70%, 1287480,1287480
6.6,53.0,58%,65%, 10292300,10292300
7.1,,76%,72%, 375757,375757
6.1,27.0,15%,55%, 15064946,15064946
6.7,,30%,68%, 5727130,5727130
5.4,15.0,11%,34%, 3602884,3602884
6.7,52.0,57%,52%, 50068310,50068310
7.0,79.0,88%,72%, 6330054,6330054
5.2,,45%,38%, 23144499,23144499
6.5,61.0,76%,66%, 172956409,315156409
6.2,63.0,55%,39%, 47795658,161376068
2.2,14.0,6%,48%, 4274407,5271666
7.3,63.0,77%,79%, 44229441,44229441
4.8,37.0,39%,24%, 65885767,136885767
7.1,61.0,85%,77%, 58406347,139804348
6.4,,93%,69%, 858553,858553
7.2,83.0,90%,79%, 19868354,19868354
6.7,51.0,53%,56%, 8863193,8863193
7.0,51.0,71%,77%, 53883989,67683989
3.8,12.0,5%,15%, 23384939,23384939
2.6,6.0,2%,24%, 27250736,36450736
3.7,28.0,11%,16%, 107353792,238235915
6.5,52.0,42%,53%, 45319423,251212670
5.4,,18%,44%, 11486880,11486880
5.5,27.0,14%,53%, 31480418,31480418
8.1,71.0,83%,93%, 18034458,46735469
5.5,18.0,12%,35%, 13583690,13583690
4.9,,46%,38%, 14051384,14051384
7.9,85.0,93%,89%, 26400640,43101594
5.8,,73%,49%, 22619589,22619589
6.9,73.0,80%,67%, 50159144,50159144
4.9,,25%,31%, 10113400,10113400
7.5,68.0,76%,88%, 2375097,2375097
6.8,75.0,76%,68%, 26528185,29202884
6.9,,74%,80%, 3566637,3566637
7.2,71.0,87%,83%, 12021272,12021272
6.6,46.0,62%,67%, 1794086,1794086
6.9,52.0,55%,75%, 101117573,224012234
6.7,49.0,56%,64%, 75982834,136982834
7.4,62.0,65%,78%, 100920329,171120329
6.9,64.0,75%,67%, 44862187,44862187
7.2,,68%,86%, 4553271,4553271
5.9,,59%,31%, 221193,221193
5.9,43.0,26%,38%, 67127760,178127760
7.6,66.0,76%,85%, 14378331,27200316
6.1,,29%,43%, 11203026,11203026
6.1,,17%,37%, 13806137,13806137
7.5,60.0,63%,80%, 60944660,152944660
6.2,53.0,35%,41%, 42868348,140807547
5.4,46.0,29%,57%, 144156605,294456605
7.7,76.0,88%,89%, 41909762,124909762
4.8,,11%,25%, 11438337,11438337
6.9,,64%,70%, 27873386,43312294
5.9,,8%,64%, 6136856,6136856
5.6,,29%,44%, 386673,386673
7.3,78.0,82%,90%, 14842388,14842388
6.7,35.0,27%,61%, 26673242,26673242
5.4,34.0,32%,41%, 14515490,14515490
7.3,82.0,92%,82%, 112276146,245676146
6.1,,0%,84%, 51266,51266
5.2,43.0,25%,25%, 28598376,28598376
6.4,62.0,55%,58%, 9381260,9381260
7.7,52.0,70%,86%, 63820180,264029966
5.1,40.0,11%,35%, 16228448,16228448
5.3,37.0,24%,33%, 92977226,177977226
6.0,37.0,32%,64%, 29481428,29481428
5.8,,14%,46%, 31642995,32748995
7.2,75.0,96%,79%, 45950122,257938649
5.9,62.0,53%,53%, 48169156,48169156
7.8,61.0,74%,84%, 48323648,109423648
7.8,64.0,82%,87%, 12532777,12532777
5.4,53.0,57%,41%, 105263257,174463257
6.4,,32%,46%, 6492660,6492660
4.9,,4%,37%, 19745922,19745922
5.7,41.0,32%,63%, 23712993,23712993
8.3,70.0,97%,94%, 138433435,225933435
5.6,,29%,38%, 1940299,1940299
6.9,55.0,68%,49%, 26420672,55494066
7.3,76.0,80%,87%, 28084357,28084357
7.3,74.0,57%,48%, 99112101,252712101
4.4,,29%,27%, 30882515,79082515
5.1,45.0,31%,33%, 10493366,10493366
6.3,50.0,43%,65%, 23499102,23499102
6.0,42.0,26%,72%, 60053195,81471882
6.6,65.0,74%,72%, 75383563,186883563
6.6,54.0,62%,77%, 626057,626057
5.7,52.0,42%,40%, 72586134,125586134
7.4,72.0,85%,82%, 8038061,8038061
6.4,70.0,71%,52%, 63856929,63856929
7.2,81.0,89%,80%, 2804473,2804473
6.4,36.0,23%,52%, 54930280,159330280
7.5,64.0,87%,85%, 39673162,39673162
5.2,42.0,19%,33%, 59927618,59927618
4.9,,26%,24%, 6112613,6112613
8.2,90.0,99%,94%, 64616940,126216940
5.1,42.0,21%,31%, 10925060,10925060
6.3,70.0,77%,64%, 4714658,4714658
6.9,70.0,81%,75%, 181410615,302710615
6.4,35.0,41%,59%, 4366722,4366722
6.9,46.0,91%,84%, 1071255,1071255
7.5,,73%,97%, 12479335,12782749
6.3,45.0,36%,42%, 10541523,10541523
6.2,,49%,73%, 15055091,15055091
4.6,18.0,3%,38%, 4529843,4529843
7.2,43.0,53%,81%, 44619100,142940100
7.3,71.0,92%,79%, 250690539,589390539
5.5,,15%,27%, 32000301,32000301
6.6,57.0,50%,65%, 25105255,25105255
5.9,55.0,63%,37%, 25480490,25480490
6.2,,16%,71%, 40922619,48407611
3.7,11.0,2%,25%, 35927406,51376861
5.6,,15%,39%, 6391946,11838218
4.0,18.0,7%,24%, 21437192,21437192
6.1,47.0,33%,42%, 25804707,25804707
6.3,50.0,73%,73%, 127120029,299288605
6.6,71.0,75%,74%, 3395581,3395581
6.7,71.0,57%,61%, 333760,333760
7.7,67.0,85%,86%, 148478011,314178011
6.6,66.0,66%,65%, 1897404,1897404
6.1,49.0,36%,52%, 29022252,30716901
6.8,48.0,45%,78%, 2007100,2007100
5.9,43.0,43%,39%, 41263140,110463140
5.0,,8%,68%, 3600616,3600616
5.5,44.0,48%,37%, 31407873,44332015
5.2,,43%,54%, 505335,505335
5.8,,31%,85%, 23047939,23261485
5.6,,13%,33%, 4166918,4166918
6.1,29.0,8%,50%, 17626234,17626234
7.2,,79%,91%, 777423,777423
6.8,56.0,56%,78%, 589304,589304
6.6,70.0,81%,64%, 39001187,52090187
6.9,67.0,75%,68%, 41230799,41230799
7.2,72.0,82%,77%, 45916769,45916769
6.3,,30%,48%, 22459274,22459274
5.8,55.0,34%,34%, 33956608,33956608
6.2,42.0,36%,47%, 19204929,19204929
7.2,71.0,87%,83%, 13130349,13130349
6.2,50.0,30%,63%, 61363304,118063304
6.2,63.0,82%,57%, 101363301,172363301
6.7,67.0,64%,77%, 35281794,35281794
7.1,55.0,60%,73%, 37957682,131457682
4.9,,0%,17%, 2312463,2312463
5.9,,66%,62%, 7281450,7281450
5.4,,25%,41%, 8345056,8345056
5.7,,23%,58%, 14772788,14772788
6.7,59.0,64%,77%, 11841544,11841544
4.8,,6%,19%, 3330352,3330352
6.0,,12%,44%, 14594226,14594226
7.0,68.0,81%,86%, 43700855,43700855
7.2,70.0,89%,80%, 9593903,9593903
5.3,34.0,17%,36%, 54870175,87840042
6.1,35.0,11%,38%, 37020277,37020277
3.5,32.0,35%,45%, 29342592,29342592
7.1,82.0,94%,77%, 60652036,107752036
7.2,51.0,64%,70%, 54814377,121214377
2.8,,12%,15%, 1710972,1710972
7.0,43.0,34%,74%, 1740156,1740156
7.5,90.0,98%,86%, 3263585,3263585
6.2,65.0,61%,45%, 318809,318809
6.2,,43%,59%, 16574176,16574176
7.1,76.0,83%,82%, 6745362,6745362
7.5,82.0,90%,81%, 16316273,16316273
7.8,75.0,91%,66%, 659363944,2187463944
6.5,52.0,57%,53%, 125304276,333011068
7.9,88.0,100%,86%, 245852179,508793269
8.1,90.0,95%,89%, 125618201,264118201
3.6,35.0,15%,41%, 8363899,9615840
4.9,,17%,19%, 11538235,11538235
7.0,77.0,94%,75%, 9161691,9161691
6.0,20.0,13%,51%, 36400360,36400360
5.5,55.0,50%,31%, 49323468,122823468
5.3,5.0,23%,41%, 15927,15927
5.3,,43%,36%, 7029025,7029025
6.7,,41%,69%, 13717039,13717039
6.1,41.0,35%,71%, 161491646,185991646
6.8,72.0,80%,74%, 334319,334319
5.9,,42%,67%, 282175,282175
6.9,,71%,73%, 2158775,2158775
5.8,,26%,38%, 15738769,15738769
4.0,,10%,62%, 8064972,8165984
5.9,33.0,17%,43%, 16757163,16757163
7.0,51.0,65%,77%, 26558,26558
8.5,62.0,84%,96%, 6719864,23875127
6.5,72.0,92%,52%, 90757863,171757863
6.7,42.0,38%,73%, 201578182,553709788
5.7,68.0,65%,41%, 18319860,69131860
5.0,31.0,9%,28%, 21760240,36911617
3.1,44.0,32%,43%, 12218638,12218638
7.7,90.0,93%,87%, 22863596,23106667
6.0,57.0,56%,45%, 22852487,22852487
6.1,31.0,43%,57%, 27007143,27007143
5.4,,10%,60%, 12951088,12951088
7.1,45.0,55%,78%, 70087718,131183530
6.6,70.0,72%,71%, 4750660,4750660
7.0,48.0,16%,35%, 155385488,415933406
6.5,44.0,31%,66%, 10115013,10115013
7.2,77.0,92%,73%, 162798565,363258859
7.0,88.0,97%,64%, 106834564,224834564
6.7,54.0,58%,82%, 78685114,198685114
6.6,68.0,61%,55%, 56709981,56709981
6.4,45.0,43%,59%, 13898649,28121100
6.2,40.0,45%,43%, 140464664,349464664
6.4,,17%,65%, 10023282,10023282
6.6,42.0,33%,65%, 32698899,61698899
7.3,67.0,72%,78%, 111549836,250849789
5.1,29.0,9%,32%, 16500786,17589705
7.4,68.0,75%,73%, 55691208,162091208
5.7,40.0,9%,18%, 154696080,330120875
7.6,41.0,50%,89%, 10680275,10680275
7.4,61.0,75%,85%, 25885000,56298474
6.8,54.0,57%,66%, 31602566,74558115
5.2,26.0,93%,80%, 4197729,4197729
7.4,74.0,95%,83%, 6451628,6451628
5.4,32.0,15%,28%, 136314294,379014294
6.8,58.0,45%,75%, 91137662,159710793
8.6,61.0,78%,94%, 136801374,286801374
6.7,16.0,29%,81%, 17460020,17460020
5.9,36.0,28%,34%, 19870567,19870567
4.9,41.0,12%,24%, 12069719,12069719
5.7,56.0,49%,66%, 37672941,39278722
5.5,,24%,40%, 12017369,12017369
6.6,40.0,29%,63%, 4956401,4956401
6.5,64.0,59%,63%, 12905901,15610299
4.9,37.0,8%,25%, 10319915,10319915
8.2,66.0,75%,93%, 3753929,3753929
8.8,92.0,91%,95%, 315544750,872491916
5.2,42.0,28%,24%, 69117629,136159423
4.6,,21%,25%, 3572443,3572443
6.5,48.0,32%,55%, 56968902,182968902
6.7,63.0,82%,72%, 94095523,250288523
6.1,37.0,21%,40%, 32935289,93107289
5.6,51.0,95%,63%, 50632037,50632037
5.9,25.0,25%,67%, 59989,105983
4.3,16.0,3%,17%, 13263993,13263993
7.6,71.0,86%,85%, 120620254,304320254
5.0,33.0,12%,30%, 36850101,36850101
7.3,62.0,74%,79%, 44547681,44547681
6.1,57.0,63%,44%, 10452012,10452012
6.3,26.0,11%,69%, 30331165,30331165
6.0,51.0,53%,51%, 29187243,46905889
6.1,24.0,38%,63%, 240067,240067
7.0,63.0,89%,71%, 23245840,26616840
6.3,70.0,80%,60%, 5881367,5881367
7.0,85.0,93%,74%, 37562568,77745568
6.5,50.0,56%,51%, 67638368,128038368
7.5,71.0,85%,79%, 40584421,49805462
6.3,46.0,22%,73%, 46732881,46732881
7.1,64.0,80%,76%, 101413188,218613188
6.0,47.0,48%,42%, 8408835,8408835
6.7,33.0,36%,67%, 40119709,102984862
7.0,60.0,60%,78%, 141186864,244721064
5.9,,57%,54%, 45724,45724
8.6,91.0,93%,95%, 217049603,482349603
6.1,36.0,6%,45%, 12874899,12874899
6.7,47.0,55%,61%, 11434216,24690441
6.6,69.0,81%,68%, 5502773,5502773
6.7,44.0,39%,68%, 14417593,23049593
5.0,19.0,73%,38%, 6552255,6552255
6.4,64.0,54%,44%, 70187658,112587658
7.3,79.0,89%,75%, 171091819,448191819
4.0,,6%,22%, 2172941,2172941
7.6,78.0,80%,80%, 36400491,98126565
6.5,47.0,26%,53%, 57167405,102367405
7.2,73.0,85%,76%, 43061945,64256513
6.8,59.0,68%,80%, 80245725,123306987
7.0,44.0,54%,84%, 55382927,55382927
6.5,52.0,63%,53%, 30147739,30147739
4.9,38.0,17%,28%, 113804681,222104681
7.4,64.0,81%,83%, 157299718,296339528
6.9,,65%,77%, 2087471,2087471
7.2,59.0,81%,75%, 60655420,90874570
6.2,49.0,39%,45%, 193735288,445135288
6.6,48.0,51%,60%, 22753426,36754634
6.5,51.0,53%,59%, 474544677,1027082707
7.3,70.0,85%,83%, 89302687,169327687
6.6,54.0,65%,56%, 310676740,649436358
7.5,68.0,80%,66%, 380270577,850035635
6.6,37.0,53%,64%, 130444603,285444603
6.9,54.0,62%,79%, 32722798,36609995
6.8,67.0,85%,69%, 18542974,18542974
7.3,67.0,67%,80%, 41616262,41616262
6.2,,48%,45%, 54682547,54682547
6.0,,60%,38%, 65748,65748
6.7,61.0,69%,62%, 106885658,176885658
6.5,28.0,29%,72%, 27807627,27807627
7.2,61.0,63%,76%, 501818,565727
6.8,63.0,67%,54%, 64016268,73475268
5.1,,6%,63%, 713239,713239
5.5,66.0,51%,41%, 2057193,2057193
6.5,,85%,55%, 140254,140254
6.4,31.0,41%,58%, 9898412,9898412
7.4,75.0,71%,77%, 57545092,88545092
6.9,63.0,81%,83%, 21567853,21567853
6.1,48.0,48%,66%, 602302,602302
6.9,39.0,44%,77%, 18253415,18253415
6.2,47.0,53%,51%, 40336607,57756408
7.1,68.0,83%,79%, 116089678,363944522
6.5,,62%,55%, 26875268,26875268
7.4,58.0,63%,79%, 34607430,47434430
6.4,62.0,51%,65%, 7302522,7302522
7.8,84.0,88%,90%, 267665011,484409218
6.8,70.0,86%,65%, 10920544,10920544
6.2,,37%,47%, 100590,100590
6.3,66.0,52%,64%, 2281761,2281761
6.6,,69%,67%, 136049,136049
7.2,83.0,92%,79%, 14902041,14902041
6.6,43.0,46%,75%, 35188640,46112640
6.5,,36%,84%, 2284034,2284034
6.5,59.0,51%,78%, 270745,270745
7.4,75.0,82%,86%, 30082699,82150642
6.5,,58%,62%, 1036818,1036818
6.5,52.0,42%,63%, 25605015,25605015
7.3,54.0,65%,87%, 22912409,22912409
7.7,86.0,89%,91%, 17105219,17195500
6.6,57.0,69%,73%, 115821495,250821495
8.0,85.0,96%,90%, 23159305,23179225
5.5,33.0,63%,68%, 28544120,28544120
6.8,25.0,22%,73%, 135026902,202292902
7.0,46.0,47%,78%, 2062405,2062405
7.1,69.0,83%,61%, 176484651,369884651
4.7,21.0,7%,29%, 40002112,40002112
5.8,49.0,45%,42%, 33864342,54264342
6.5,56.0,64%,48%, 137748063,349822765
6.4,71.0,81%,61%, 66384775,98625775
4.3,21.0,10%,25%, 11578059,11578059
4.1,36.0,43%,20%, 26005820,35134820
6.5,38.0,43%,74%, 7027290,7027290
4.6,29.0,14%,33%, 32720065,54744738
6.1,65.0,61%,57%, 29762011,33461011
7.8,71.0,91%,88%, 32570685,34698685
6.0,40.0,32%,46%, 22365133,22365133
5.3,35.0,19%,31%, 8951935,8951935
8.7,73.0,88%,85%, 171479930,465343787
5.7,50.0,86%,87%, 180011740,362211740
7.2,60.0,69%,72%, 38176783,110041363
6.1,40.0,50%,38%, 27816,27816
6.5,61.0,53%,55%, 40283321,40283321
6.4,53.0,44%,53%, 40981289,116672912
5.9,,59%,50%, 100494675,140894675
5.5,56.0,39%,37%, 89143175,161834276
7.4,76.0,83%,80%, 81298265,128798265
6.5,19.0,22%,52%, 36663315,96618699
6.7,49.0,37%,66%, 8891623,8891623
5.6,,34%,39%, 17514980,17514980
6.1,40.0,21%,48%, 4739023,6620242
7.1,49.0,59%,77%, 39240659,53187659
6.1,,65%,60%, 1263279,1263279
7.2,65.0,63%,74%, 24756177,41067311
6.3,54.0,38%,50%, 87704396,212404396
8.8,66.0,79%,96%, 37030102,101187217
7.1,87.0,92%,80%, 100317794,289317794
5.4,37.0,15%,33%, 10672566,19598588
6.7,,78%,72%, 871759,871759
6.2,31.0,15%,58%, 4152230,4152230
6.2,71.0,75%,48%, 35327628,119898783
7.4,72.0,88%,85%, 3221152,3221152
6.9,51.0,48%,65%, 50863742,76432727
6.4,58.0,64%,51%, 889352,924036
6.8,56.0,54%,81%, 38773785,76347426
7.2,72.0,91%,78%, 16943454,28451622
5.7,34.0,46%,37%, 31770414,56870414
6.2,39.0,32%,66%, 52880016,118880016
7.1,,61%,84%, 1009819,1009819
7.7,69.0,72%,89%, 76631907,104876233
6.6,65.0,54%,49%, 16649768,16649768
6.5,50.0,42%,76%, 52894169,54294169
7.1,36.0,29%,64%, 11916661,18564088
7.8,84.0,96%,90%, 29089912,60289912
6.8,62.0,57%,66%, 4555459,4555459
6.4,,75%,71%, 307037,307037
5.4,46.0,45%,35%, 52900680,93900680
5.3,,57%,61%, 34562556,34562556
4.1,36.0,21%,18%, 97403112,134403112
5.4,34.0,25%,38%, 2962465,3003296
4.4,34.0,13%,14%, 6719973,10372291
6.6,62.0,68%,62%, 77122415,127666415
6.1,56.0,48%,43%, 15164492,24493601
6.2,46.0,30%,64%, 2005840,2005840
6.4,41.0,39%,74%, 163479795,234801895
6.7,44.0,43%,57%, 18661336,58401898
6.4,57.0,53%,49%, 126943684,361832400
5.8,21.0,14%,53%, 17650,17650
7.6,64.0,69%,85%, 15070285,34266564
7.8,44.0,25%,91%, 30471,30471
5.4,48.0,46%,46%, 32400658,50688658
6.3,56.0,54%,30%, 135280,135280
6.1,65.0,71%,53%, 6262878,6262878
6.5,55.0,36%,54%, 12044,12044
6.3,47.0,21%,46%, 102705852,149705852
4.4,38.0,26%,33%, 123309890,166339890
6.0,36.0,28%,48%, 10570375,10570375
4.7,42.0,20%,33%, 17762705,17762705
4.6,21.0,11%,38%, 12811858,15843608
7.3,73.0,90%,67%, 407022860,825025036
6.2,28.0,22%,63%, 50046268,89446268
7.3,54.0,51%,81%, 13042112,13042112
6.6,59.0,52%,71%, 206040086,312016858
7.0,,60%,79%, 3970078,3970078
5.3,27.0,16%,54%, 4398989,4398989
7.3,67.0,83%,80%, 34592089,66579890
5.6,35.0,21%,37%, 38072438,72527595
5.8,33.0,11%,32%, 66889043,211989043
6.9,52.0,52%,73%, 75530832,100230832
7.5,79.0,91%,90%, 27287137,47126295
6.7,47.0,43%,65%, 30919168,39459427
7.7,81.0,81%,89%, 2982011,2982011
7.3,70.0,69%,69%, 38178166,53478166
5.8,54.0,60%,38%, 73648142,164648142
6.2,49.0,48%,36%, 5661798,7450414
5.8,55.0,32%,42%, 15540353,18133495
6.8,64.0,64%,71%, 2903404,2986932
6.5,40.0,27%,61%, 116741558,177841558
7.3,78.0,88%,83%, 4912892,4912892
6.0,60.0,55%,69%, 55474756,84565230
7.7,68.0,80%,93%, 10827810,10827810
7.5,60.0,81%,85%, 48482,48482
5.7,40.0,29%,55%, 17246,17246
6.8,72.0,78%,74%, 69305181,124305181
6.5,50.0,41%,53%, 4488529,4488529
5.5,,23%,41%, 12214338,12214338
5.6,22.0,11%,55%, 3117085,3117085
4.6,47.0,96%,95%, 21485655,37170655
7.5,79.0,88%,81%, 117471,117471
5.8,7.0,36%,28%, 7027345,7201701
6.2,53.0,56%,55%, 187152,187152
7.1,65.0,84%,85%, 591165,591165
7.0,61.0,73%,68%, 34134641,35547761
4.6,25.0,19%,35%, 14990582,24362772
5.2,38.0,15%,24%, 31502583,74608570
5.2,40.0,29%,30%, 36989956,38793283
6.6,28.0,46%,75%, 10571408,10571408
6.2,,16%,87%, 9639390,9639390
6.4,50.0,46%,59%, 145071,145071
3.6,27.0,25%,20%, 35268275,59468275
7.7,73.0,80%,88%, 52037603,83137603
7.2,76.0,76%,81%, 4906229,10409377
7.2,73.0,70%,77%, 95636509,173013509
5.8,59.0,77%,63%, 11683047,11683047
5.7,30.0,16%,36%, 30208599,40400425
5.5,52.0,52%,78%, 125305545,264105545
6.4,38.0,21%,63%, 2165637,2165637
3.9,44.0,16%,23%, 9974410,9974410
6.0,68.0,86%,54%, 632283,635680
6.2,33.0,23%,41%, 6285176,8694320
6.3,53.0,39%,75%, 14011454,14011454
4.4,29.0,13%,40%, 11993021,11993021
4.8,16.0,8%,22%, 16815253,31355910
6.4,45.0,36%,55%, 61335230,71732303
5.9,51.0,41%,55%, 63366989,103166989
6.0,37.0,26%,58%, 27100031,58900031
6.7,75.0,82%,64%, 1350248,1350248
6.6,51.0,46%,58%, 155464351,291420351
5.5,37.0,10%,35%, 32269834,38464131
7.0,52.0,61%,92%, 25059640,25059640
7.8,73.0,88%,84%, 233632142,429632142
7.3,88.0,93%,84%, 6217849,8764007
6.3,62.0,81%,55%, 1955933,1955933
5.9,50.0,33%,94%, 70334258,107626125
7.3,65.0,69%,80%, 101071502,206071502
6.7,67.0,51%,60%, 19288130,19288130
7.2,,33%,36%, 2087228,2087228
4.9,33.0,12%,34%, 36050230,51880044
5.9,42.0,49%,36%, 181171875,368780809
5.5,39.0,46%,53%, 152257509,309460292
5.2,33.0,10%,30%, 11263966,11788676
7.0,58.0,61%,61%, 102561004,235483004
4.7,14.0,2%,38%, 5280035,5280035
6.7,43.0,20%,57%, 39785027,144056873
5.1,17.0,3%,43%, 29381494,40443010
6.8,70.0,72%,70%, 16797191,16797191
6.0,57.0,47%,45%, 357197,1277187
5.8,24.0,27%,28%, 73209340,190213455
6.9,,72%,Nan, 2160710,2160710
5.7,56.0,53%,34%, 11614954,11670561
5.8,42.0,28%,53%, 17845337,22593409
7.0,67.0,67%,70%, 21142914,21142914
6.4,45.0,60%,49%, 118907036,193921372
6.4,42.0,31%,53%, 74078174,105178561
5.9,61.0,67%,41%, 140035367,300135367
3.1,,21%,18%, 9257103,9257103
6.9,33.0,48%,82%, 4217115,4217115
5.2,21.0,17%,42%, 4705631,4705631
7.0,73.0,92%,78%, 3204663,3325736
6.1,52.0,32%,61%, 55973336,91036760
6.7,48.0,45%,56%, 26483452,80767884
4.1,42.0,23%,40%, 7316658,8378853
6.9,74.0,78%,78%, 4177818,4177818
5.0,,0%,66%, 6033999,6033999
5.5,,33%,38%, 8302478,8302478
4.7,40.0,19%,27%, 5411999,7622365
6.7,56.0,51%,64%, 39263420,113996937
8.0,86.0,95%,91%, 6203044,6416325
6.8,54.0,63%,72%, 14859394,14936407
6.5,,82%,77%, 9740,9740
6.8,72.0,18%,49%, 59623958,99378985
5.6,33.0,10%,56%, 6651522,14400327
8.9,94.0,93%,86%, 377845905,1120424614
8.7,87.0,95%,95%, 342551365,927600630
8.1,64.0,86%,90%, 293506292,672806292
5.1,42.0,32%,60%, 30636478,30636478
4.2,36.0,19%,36%, 6880917,28283637
2.5,16.0,0%,17%, 292152,292152
7.1,78.0,87%,80%, 65090,65090
6.8,61.0,72%,86%, 34102780,34573780
8.0,61.0,69%,91%, 4184036,40031879
7.3,62.0,79%,86%, 21078145,23367586
8.1,84.0,95%,93%, 909043,1724806
8.3,86.0,87%,93%, 130096601,356296601
6.1,46.0,100%,98%, 260044825,345141403
5.1,22.0,20%,36%, 7838,7838
7.0,55.0,77%,71%, 139692,148701
5.7,42.0,0%,37%, 1638202,3284444
5.0,42.0,87%,82%, 91411151,177311151
6.3,60.0,69%,59%, 37047880,59945183
6.1,69.0,83%,45%, 25170054,29364989
7.5,86.0,88%,87%, 11540607,11540607
6.6,38.0,23%,78%, 138608444,273339556
7.1,65.0,80%,57%, 10827816,10827816
7.3,51.0,54%,84%, 28912646,48350205
6.0,43.0,39%,75%, 5985690,5985690
6.4,49.0,45%,48%, 32131830,85131830
