avg_vote,metascore,tomatometer_score,audience_score,usa_gross_income,worldwide_gross_income
6.7,61.0,77%,80%, 47624353,47624353
7.8,68.0,75%,91%, 2015810,2023808
5.9,,15%,32%, 11276846,11276846
6.5,,12%,63%, 23562716,23562716
6.1,38.0,23%,53%, 39673161,39673161
6.0,,45%,65%, 14061361,14061361
7.3,58.0,11%,29%, 43218387,83531958
6.5,67.0,77%,68%, 787280,787280
6.7,65.0,69%,70%, 74787599,74787599
4.9,,7%,42%, 25104700,32704700
5.8,36.0,9%,60%, 22641969,24941969
6.9,,56%,74%, 21413105,21413105
5.9,,65%,51%, 10438504,10438504
6.6,,100%,53%, 6266621,6266621
6.7,47.0,41%,63%, 43001500,43001500
5.2,,0%,42%, 2807854,2807854
6.9,51.0,52%,72%, 165493908,390493908
6.4,61.0,65%,65%, 46704056,46704056
6.8,,88%,88%, 7241350,7241350
5.4,,32%,25%, 9563393,9563393
5.6,,41%,49%, 115103,115103
6.5,,31%,55%, 11511031,11511031
6.1,,33%,51%, 2275557,2275557
8.6,85.0,96%,95%, 130742922,272753884
7.1,69.0,85%,77%, 1228108,1228108
6.2,48.0,20%,61%, 101599005,174999005
6.6,65.0,69%,63%, 36489888,36489888
5.7,,0%,43%, 11000863,11000863
5.8,,50%,23%, 15545943,15545943
8.5,75.0,93%,94%, 205881154,520884847
7.5,88.0,84%,82%, 45360915,45360915
6.6,46.0,36%,66%, 15073942,15073942
6.3,,47%,45%, 418807,418807
5.0,,43%,26%, 4693236,4693236
7.4,67.0,83%,94%, 356122,357400
7.0,60.0,84%,79%, 63707829,63707829
6.7,62.0,65%,63%, 34793160,34793160
6.5,47.0,32%,50%, 7191399,7191399
5.3,36.0,32%,53%, 29000301,29000301
8.0,86.0,57%,94%, 217350219,504050219
6.8,,80%,68%, 384048,384048
7.2,66.0,78%,90%, 13086430,13086430
7.1,70.0,77%,73%, 2000022,2038916
7.0,41.0,52%,63%, 117727224,352927224
7.0,68.0,80%,73%, 162902340,266903053
6.3,39.0,34%,64%, 122006740,411006740
5.5,45.0,43%,59%, 70052444,131052444
7.4,57.0,59%,58%, 82522790,215862692
5.6,48.0,35%,43%, 16624456,16624456
6.6,,74%,62%, 25792310,25792310
5.8,39.0,23%,52%, 22518097,22518097
7.6,47.0,59%,81%, 9493259,9493259
5.1,27.0,29%,33%, 14960255,20560255
6.5,,53%,74%, 14683921,14683921
6.1,,17%,73%, 13272113,13272113
5.7,,25%,24%, 21591728,21591728
4.9,28.0,6%,31%, 14110589,14110589
6.7,70.0,90%,69%, 621392,621392
7.2,90.0,94%,78%, 62548947,62548947
6.6,56.0,54%,61%, 58422650,149022650
7.0,,57%,77%, 4836637,4836637
5.8,25.0,15%,56%, 40693477,40693477
5.5,,33%,42%, 279627,279627
5.6,,75%,44%, 231826,231826
6.6,49.0,49%,62%, 58883840,137783840
7.7,62.0,83%,89%, 141340178,243240178
5.9,,54%,36%, 28590665,28590665
5.4,,18%,25%, 17129026,17129026
6.5,,77%,87%, 9223441,9223441
7.8,80.0,95%,88%, 10725228,10725228
5.6,69.0,63%,40%, 114516,114516
5.5,50.0,41%,36%, 12534961,12534961
6.5,,95%,87%, 19507345,19507345
6.6,50.0,52%,59%, 24276506,29302121
6.7,,33%,61%, 173585516,365070556
4.8,50.0,40%,24%, 58662452,58662452
5.8,,63%,35%, 35208854,35208854
7.5,,93%,87%, 10555619,10555619
6.2,,39%,44%, 4943279,4943279
5.8,53.0,33%,47%, 90091,90091
7.1,60.0,79%,90%, 20146880,20146880
7.7,76.0,93%,88%, 75505856,75505856
